,addressee,dialogue_act,dialogue_num,doc,emitter,global_id,games,original_turn_number,span_end,subdoc,superdoc_num,surface_act,text,turn_id,type,parent_schema_id,schema_composition,incoming_relation_id,relation_type
19,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681418,1,7.1,700,1,1,Assertion,Yes.,13,Segment,0,0,pilot01_01_sleva_1340913792800,Question_answer_pair
20,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340804901,1,8,776,1,1,Assertion,I'm still rather impressed at a Hex grid in Java to be honest...,14,Segment,0,0,pilot01_01_nasher_1454936687739,Comment
21,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340804902,1,8,812,1,1,Assertion,Java layout always feels like a nig,14,Segment,pilot01_01_nasher_1454924849828,EDU,0,0
22,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340814901,1,9,834,1,1,Assertion,*nightmare,15,Segment,pilot01_01_nasher_1454924849828,EDU,pilot01_01_sleva_1340913816549,Correction
23,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681428,1,9.1,857,1,1,Assertion,Indeed;,16,Segment,0,0,pilot01_01_nasher_1454924927313,Acknowledgement
24,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681429,1,9.1,921,1,1,Assertion,I had the pleasure editing the source code of this application.,16,Segment,0,0,pilot01_01_nasher_1454925057983,Explanation
25,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340824901,1,10,952,1,1,Assertion,Ah. Fun I take it?,17,Segment,0,0,pilot01_01_sleva_1340913953723,Clarification_question
26,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340824902,1,10,1003,1,1,Assertion,"Still, it looks very nicely laid out to be honest.",17,Segment,0,0,pilot01_01_sleva_1340914006142,Contrast
27,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681436,1,10.1,1053,1,1,Assertion,"Well, it's an open source projet,",18,Segment,pilot01_01_nasher_1454936912041,EDU,0,0
28,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681437,1,10.1,1065,1,1,Assertion,so it's OK.,18,Segment,pilot01_01_nasher_1454936912041,EDU,pilot01_01_nasher_1454936945671,Result
29,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681438,1,10.1,1104,1,1,Question,But I had to dig deeper than I wanted.,18,Segment,pilot01_01_nasher_1454936912041,EDU,pilot01_01_nasher_1454936954239,Result
30,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681439,1,10.1,1108,1,1,Assertion,:*),18,Segment,0,0,pilot01_01_nasher_1458830076702,Comment
31,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340834901,1,11,1132,1,1,Assertion,Ahh! I see.,19,Segment,0,0,pilot01_01_sleva_1340914062601,Question_answer_pair
32,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340834902,1,11,1157,1,1,Assertion,"One more to go, I guess.",19,Segment,0,0,pilot01_01_sleva_1340914070000,Comment
33,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681446,1,11.1,1178,1,1,Assertion,"Yes,",20,Segment,0,0,pilot01_01_nasher_1454937103012,Acknowledgement
34,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681447,1,11.1,1212,1,1,Assertion,it's supposed to be three of you.,20,Segment,0,0,pilot01_01_nasher_1454937112964,Elaboration
35,"Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681450,1,11.2,1258,1,1,Question,"Hm, how are you two for time?",21,Segment,0,0,pilot01_01_nasher_1454937160211,Clarification_question
36,"Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681451,1,11.2,1284,1,1,Question,Can we wait a bit longer?,21,Segment,0,0,pilot01_01_nasher_1454937185731,Clarification_question
37,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340844901,1,12,1330,1,1,Assertion,I'm good for a little bit longer.,22,Segment,0,0,pilot01_01_sleva_1340914077671,Question_answer_pair
38,Tomm,Other,1,pilot01,rennoc1,pilot01_01_stac_1340854901,1,13,1379,1,1,Assertion,I don't mind waiting for a while.,23,Segment,0,0,pilot01_01_sleva_1340914085587,Question_answer_pair
39,"Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681460,1,13.1,1402,1,1,Assertion,Great.,24,Segment,0,0,pilot01_01_nasher_1454937250242,Acknowledgement
40,"Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681460,1,13.1,1402,1,1,Assertion,Great.,24,Segment,0,0,pilot01_01_nasher_1454937257978,Acknowledgement
41,"Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681461,1,13.1,1464,1,1,Assertion,I guess if person number 3 doesn't show up in 5 or 10 minutes,24,Segment,pilot01_01_nasher_1454937303642,EDU,0,0
42,"Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681462,1,13.1,1496,1,1,Assertion,it'll be you only you two anywa,24,Segment,pilot01_01_nasher_1454937375081,EDU,0,0
43,"Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681465,1,13.2,1515,1,1,Assertion,y.,25,Segment,pilot01_01_nasher_1454937375081,EDU,pilot01_01_nasher_1454937392392,Continuation
44,All,Other,1,pilot01,Dave,pilot01_01_stac_1340864901,1,14,1530,1,1,Assertion,hi,26,Segment,0,0,pilot01_01_sleva_1340914174492,Continuation
45,"Dave, Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681471,1,14.1,1557,1,1,Assertion,"Ah, great.",27,Segment,0,0,pilot01_01_nasher_1454937626612,Acknowledgement
46,"Dave, Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681472,1,14.1,1571,1,1,Assertion,We can start.,27,Segment,0,0,pilot01_01_nasher_1454937688315,Result
47,"Dave, Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681475,1,14.2,1620,1,1,Assertion,Sombody has to click START GAME.,28,Segment,0,0,pilot01_01_nasher_1454937715842,Elaboration
48,"Dave, Tomm, rennoc1",Other,1,pilot01,Markus,pilot01_01_stac_1454681478,1,14.3,1656,1,1,Assertion,Amd and off you go!,29,Segment,0,0,pilot01_01_nasher_1454937759097,Narration
49,All,Other,2,pilot01,rennoc1,pilot01_01_stac_1341014901,1,29,1706,1,2,Question,so anyone else played this before?,30,Segment,0,0,0,0
50,rennoc1,Other,2,pilot01,Dave,pilot01_01_stac_1341024901,1,30,1732,1,2,Assertion,"I haven't, no",31,Segment,0,0,pilot01_01_sleva_1340914250405,Question_answer_pair
51,rennoc1,Other,2,pilot01,Tomm,pilot01_01_stac_1341034901,1,31,1761,1,2,Assertion,"Yes, a little...",32,Segment,0,0,pilot01_01_sleva_1340914456593,Question_answer_pair
52,rennoc1,Other,2,pilot01,Tomm,pilot01_01_stac_1341034902,1,31,1789,1,2,Assertion,but I was never good at it.,32,Segment,0,0,pilot01_01_jhunter_1478264506192,Contrast
53,rennoc1,Other,2,pilot01,Dave,pilot01_01_stac_1341044901,1,32,1831,1,2,Question,is it still your turn rennoc?,33,Segment,0,0,pilot01_01_nasher_1374068608036,Correction
54,Dave,Other,2,pilot01,rennoc1,pilot01_01_stac_1341054901,1,33,1852,1,2,Assertion,"yeah,",34,Segment,0,0,pilot01_01_sleva_1340914519915,Question_answer_pair
55,All,Offer,3,pilot01,Dave,pilot01_02_stac_1340734905,1,42,74,2,3,Request,does anyone have any wood they would be willing to trade for?,35,Segment,0,0,0,0
56,Dave,Refusal,3,pilot01,Tomm,pilot01_02_stac_1340744905,1,43,90,2,3,Assertion,Not,36,Segment,pilot01_02_asoubeille_1340974725421,EDU,0,0
57,Dave,Other,3,pilot01,Tomm,pilot01_02_stac_1340744906,1,43,124,2,3,Assertion,until people start rolling 8's :P,36,Segment,pilot01_02_asoubeille_1340974725421,EDU,pilot01_02_asoubeille_1340974770359,Elaboration
58,?,Other,4,pilot01,Dave,pilot01_02_stac_1340774905,1,46,140,2,4,Assertion,woo,37,Segment,0,0,0,0
59,?,Other,4,pilot01,Tomm,pilot01_02_stac_1340784905,1,47,160,2,4,Assertion,Bugger.,38,Segment,0,0,pilot01_02_asoubeille_1340975131484,Comment
60,All,Offer,4,pilot01,Tomm,pilot01_02_stac_1340784906,1,47,199,2,4,Request,Got any clay to trade for sheep/wheat?,38,Segment,0,0,pilot01_02_asoubeille_1350557189828,Continuation
61,Tomm,Refusal,4,pilot01,Dave,pilot01_02_stac_1340794905,1,48,222,2,4,Assertion,Only got 1,39,Segment,pilot01_02_asoubeille_1340975257140,EDU,0,0
62,Tomm,Refusal,4,pilot01,Dave,pilot01_02_stac_1340794906,1,48,248,2,4,Assertion,"and I'm holding on to it,",39,Segment,pilot01_02_asoubeille_1340975257140,EDU,pilot01_02_asoubeille_1340975221578,Continuation
63,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1340794907,1,48,255,2,4,Assertion,sorry.,39,Segment,pilot01_02_asoubeille_1340975257140,EDU,pilot01_02_asoubeille_1340975233437,Comment
64,rennoc1,Other,4,pilot01,Tomm,pilot01_02_stac_1340804905,1,49,320,2,4,Assertion,Also: Rennoc - be careful holding lots of resources.,40,Segment,pilot01_02_nasher_1374499279689,EDU,0,0
65,rennoc1,Other,4,pilot01,Tomm,pilot01_02_stac_1340804906,1,49,342,2,4,Assertion,"If someone rolls a 7,",40,Segment,pilot01_02_asoubeille_1350557538062,EDU,0,0
66,rennoc1,Other,4,pilot01,Tomm,pilot01_02_stac_1340804907,1,49,366,2,4,Assertion,"I think, you lose cards",40,Segment,pilot01_02_asoubeille_1350557538062,EDU,pilot01_02_nasher_1374380680893,Conditional
67,Tomm,Accept,4,pilot01,rennoc1,pilot01_02_stac_1340814905,1,50,396,2,4,Assertion,got some clay.,41,Segment,pilot01_02_asoubeille_1350557854656,EDU,0,0
68,Tomm,Accept,4,pilot01,rennoc1,pilot01_02_stac_1340814906,1,50,417,2,4,Question,how many do you need,41,Segment,pilot01_02_asoubeille_1350557854656,EDU,pilot01_02_asoubeille_1340975637765,Clarification_question
69,"Tomm, rennoc1",Other,4,pilot01,Dave,pilot01_02_stac_1340824905,1,51,435,2,4,Assertion,"Yeah,",42,Segment,pilot01_02_asoubeille_1350557989859,EDU,0,0
70,"Tomm, rennoc1",Other,4,pilot01,Dave,pilot01_02_stac_1340824906,1,51,461,2,4,Question,that's the robber isn'tit,42,Segment,pilot01_02_asoubeille_1350557989859,EDU,pilot01_02_asoubeille_1340975916640,Elaboration
71,rennoc1,Offer,4,pilot01,Tomm,pilot01_02_stac_1340834905,1,52,508,2,4,Request,"Well, what would you like for clay",43,Segment,pilot01_02_asoubeille_1350558221578,EDU,0,0
72,rennoc1,Offer,4,pilot01,Tomm,pilot01_02_stac_1340834906,1,52,545,2,4,Request,and/or how many do you want to give?,43,Segment,pilot01_02_asoubeille_1350558221578,EDU,pilot01_02_asoubeille_1340976097500,Continuation
73,Tomm,Counteroffer,4,pilot01,rennoc1,pilot01_02_stac_1340844905,1,53,592,2,4,Assertion,could do with some ore or sheep,44,Segment,0,0,pilot01_02_asoubeille_1350558357250,Question_answer_pair
74,All,Other,4,pilot01,Dave,pilot01_02_stac_1340854905,1,54,639,2,4,Assertion,"While we're talking about trading,",45,Segment,pilot01_02_asoubeille_1350558617328,EDU,0,0
75,All,Counteroffer,4,pilot01,Dave,pilot01_02_stac_1340854906,1,54,662,2,4,Request,does anyone have sheep,45,Segment,pilot01_02_asoubeille_1350558617328,EDU,pilot01_02_asoubeille_1340976341062,Background
76,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1340864905,1,55,680,2,4,Assertion,"Yeah,",46,Segment,0,0,pilot01_02_asoubeille_1350558793046,Question_answer_pair
77,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1340864906,1,55,725,2,4,Assertion,on a 7 anyone with lots of cards gets halved,46,Segment,pilot01_02_nasher_1374504178633,EDU,0,0
78,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1340864907,1,55,752,2,4,Assertion,and the robber gets moved.,46,Segment,pilot01_02_nasher_1374504178633,EDU,pilot01_02_asoubeille_1340976750750,Continuation
79,Dave,Accept,4,pilot01,Tomm,pilot01_02_stac_1340874905,1,56,783,2,4,Assertion,"I have sheep, yes.",47,Segment,0,0,pilot01_02_asoubeille_1350558726062,Question_answer_pair
80,Tomm,Counteroffer,4,pilot01,Dave,pilot01_02_stac_1340884905,1,57,814,2,4,Question,Need ore or wheat?,48,Segment,0,0,pilot01_02_asoubeille_1340976806078,Q_Elab
81,Dave,Offer,4,pilot01,Tomm,pilot01_02_stac_1340894905,1,58,865,2,4,Request,Sheep for an ore and sheep for a clay?,49,Segment,0,0,pilot01_02_asoubeille_1340976916796,Q_Elab
82,Tomm,Accept,4,pilot01,Dave,pilot01_02_stac_1340904905,1,59,882,2,4,Assertion,sure,50,Segment,0,0,pilot01_02_asoubeille_1340976955609,Acknowledgement
83,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1340914905,1,60,920,2,4,Question,soo... how do we do this?,51,Segment,0,0,pilot01_02_asoubeille_1340977420187,Continuation
84,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1340924905,1,61,936,2,4,Assertion,"ok,",52,Segment,0,0,pilot01_02_asoubeille_1340977456843,Acknowledgement
85,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1340924906,1,61,944,2,4,Assertion,I THINK,52,Segment,pilot01_02_asoubeille_1340977598359,EDU,0,0
86,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1340934905,1,62,979,2,4,Assertion,click register a trade,53,Segment,pilot01_02_asoubeille_1340977598359,EDU,pilot01_02_asoubeille_1340977532781,Continuation
87,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1340944905,1,63,1009,2,4,Assertion,then I'm not sure,54,Segment,pilot01_02_asoubeille_1340977598359,EDU,pilot01_02_asoubeille_1340977549937,Narration
88,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1340954905,1,64,1047,2,4,Assertion,"so I give a sheep to red,",55,Segment,pilot01_02_asoubeille_1340977644031,EDU,0,0
89,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1340954906,1,64,1068,2,4,Question,"I get an ore, right?",55,Segment,pilot01_02_asoubeille_1340977644031,EDU,pilot01_02_asoubeille_1340977617031,Result
90,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1340964905,1,65,1084,2,4,Assertion,yup,56,Segment,0,0,pilot01_02_asoubeille_1340977686203,Acknowledgement
91,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1340994905,1,68,1111,2,4,Question,Did that work?,57,Segment,0,0,pilot01_02_asoubeille_1340977713468,Clarification_question
92,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1341004905,1,69,1136,2,4,Assertion,"it did, yeah",58,Segment,0,0,pilot01_02_asoubeille_1340977750984,Question_answer_pair
93,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1341014905,1,70,1155,2,4,Assertion,thanks,59,Segment,0,0,pilot01_02_asoubeille_1340977761484,Continuation
94,rennoc1,Offer,4,pilot01,Tomm,pilot01_02_stac_1341024905,1,71,1193,2,4,Request,rennoc: Sheep for an ore?,60,Segment,0,0,pilot01_02_asoubeille_1340977930078,Q_Elab
95,Tomm,Refusal,4,pilot01,rennoc1,pilot01_02_stac_1341034905,1,72,1229,2,4,Assertion,"I dont have any ore,",61,Segment,pilot01_02_asoubeille_1340977985968,EDU,0,0
96,Tomm,Counteroffer,4,pilot01,rennoc1,pilot01_02_stac_1341034906,1,72,1255,2,4,Assertion,but i do have plenty clay,61,Segment,pilot01_02_asoubeille_1340977985968,EDU,pilot01_02_asoubeille_1340977953250,Contrast
97,All,Other,4,pilot01,Dave,pilot01_02_stac_1341044905,1,73,1315,2,4,Question,Is there a reason I can't buy a settlement now?,62,Segment,pilot01_02_asoubeille_1340978338625,EDU,0,0
98,All,Other,4,pilot01,Dave,pilot01_02_stac_1341044906,1,73,1336,2,4,Assertion,I have the resources,62,Segment,pilot01_02_asoubeille_1340978338625,EDU,pilot01_02_asoubeille_1340978024015,Explanation
99,rennoc1,Other,4,pilot01,Tomm,pilot01_02_stac_1341054905,1,74,1374,2,4,Assertion,"Bah, that's what I meant,",63,Segment,pilot01_02_asoubeille_1340978263328,EDU,0,0
100,rennoc1,Other,4,pilot01,Tomm,pilot01_02_stac_1341054906,1,74,1381,2,4,Assertion,sorry.,63,Segment,pilot01_02_asoubeille_1340978263328,EDU,pilot01_02_asoubeille_1340978105203,Comment
101,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1341064905,1,75,1422,2,4,Assertion,You have to do it on your go,64,Segment,0,0,pilot01_02_asoubeille_1340978351593,Question_answer_pair
102,Tomm,Other,4,pilot01,rennoc1,pilot01_02_stac_1341074905,1,76,1440,2,4,Assertion,ok,65,Segment,0,0,pilot01_02_asoubeille_1340978468500,Acknowledgement
103,Tomm,Other,4,pilot01,Dave,pilot01_02_nasher_1374506241253,1,78,1456,2,4,Assertion,yes,66,Segment,0,0,pilot01_02_nasher_1374506398366,Acknowledgement
104,Tomm,Other,4,pilot01,Dave,pilot01_02_nasher_1374506257614,1,78,1516,2,4,Assertion,"but the road and card options have a greyed out buy option,",66,Segment,pilot01_02_asoubeille_1340978544734,EDU,0,0
105,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1341094906,1,78,1542,2,4,Assertion,settlement is just dashes,66,Segment,pilot01_02_asoubeille_1340978544734,EDU,pilot01_02_nasher_1397221382248,Continuation
106,Tomm,Other,4,pilot01,rennoc1,pilot01_02_stac_1341104905,1,79,1581,2,4,Question,how do I accept a trade,67,Segment,0,0,pilot01_02_asoubeille_1340978660765,Continuation
107,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1341114905,1,80,1648,2,4,Assertion,"also you tried to trade with me there tomm, not rennoc",68,Segment,0,0,pilot01_02_asoubeille_1350560471718,Parallel
108,?,Other,4,pilot01,Tomm,pilot01_02_stac_1341124905,1,81,1667,2,4,Assertion,Thanks,69,Segment,0,0,pilot01_02_nasher_1374506704699,Acknowledgement
109,Tomm,Other,4,pilot01,rennoc1,pilot01_02_stac_1341154905,1,84,1688,2,4,Assertion,ah...,70,Segment,0,0,pilot01_02_asoubeille_1340978756375,Acknowledgement
110,Tomm,Other,4,pilot01,rennoc1,pilot01_02_stac_1341164905,1,85,1710,2,4,Assertion,thanks,71,Segment,0,0,pilot01_02_asoubeille_1340978791281,Comment
111,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1341174905,1,86,1777,2,4,Assertion,"Oh, you don't have anywhere you can BUILD a settlement",72,Segment,pilot01_02_asoubeille_1340979073250,EDU,0,0
112,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1341184905,1,87,1857,2,4,Assertion,"they have to be two sides away from a settlement, connected by road",73,Segment,pilot01_02_asoubeille_1340979073250,EDU,pilot01_02_asoubeille_1340978983968,Explanation
113,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1341194905,1,88,1921,2,4,Assertion,so you need to build one more segment of road first,74,Segment,pilot01_02_asoubeille_1340979073250,EDU,pilot01_02_asoubeille_1340979030890,Result
114,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1341204905,1,89,1969,2,4,Question,"oh, so I need to build a road first",75,Segment,0,0,pilot01_02_asoubeille_1340979083812,Clarification_question
115,Dave,Other,4,pilot01,Tomm,pilot01_02_stac_1341214905,1,90,1986,2,4,Assertion,yeah,76,Segment,0,0,pilot01_02_asoubeille_1340979098875,Acknowledgement
116,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1341224905,1,91,2005,2,4,Assertion,"right,",77,Segment,0,0,pilot01_02_asoubeille_1340979125078,Acknowledgement
117,Tomm,Other,4,pilot01,Dave,pilot01_02_stac_1341224906,1,91,2012,2,4,Assertion,thanks,77,Segment,0,0,pilot01_02_asoubeille_1340979135718,Comment
118,Tomm,Other,5,pilot01,Dave,pilot01_02_stac_1341264905,1,95,2027,2,5,Assertion,:D,78,Segment,0,0,0,0
119,"Dave, Tomm",Other,5,pilot01,Tomm,pilot01_02_stac_1341274905,1,96,2045,2,5,Assertion,Oh...,79,Segment,0,0,pilot01_02_asoubeille_1340979300343,Comment
120,Dave,Other,5,pilot01,Tomm,pilot01_02_stac_1341274906,1,96,2064,2,5,Assertion,well that's unkind,79,Segment,0,0,pilot01_02_asoubeille_1350560764750,Explanation
121,Tomm,Other,5,pilot01,Dave,pilot01_02_stac_1341294905,1,98,2082,2,5,Assertion,sorry,80,Segment,0,0,pilot01_02_asoubeille_1340979353656,Comment
122,Dave,Other,5,pilot01,Tomm,pilot01_02_stac_1341304905,1,99,2105,2,5,Assertion,"It's okay,",81,Segment,0,0,pilot01_02_asoubeille_1340979397906,Comment
123,Dave,Other,5,pilot01,Tomm,pilot01_02_stac_1341304906,1,99,2136,2,5,Assertion,name of the game and all that.,81,Segment,0,0,pilot01_02_asoubeille_1340979378984,Elaboration
124,Dave,Other,5,pilot01,Tomm,pilot01_02_stac_1341314905,1,100,2195,2,5,Question,Do you get a random one of my resources then?,82,Segment,0,0,pilot01_02_asoubeille_1350560849093,Result
125,All,Offer,5,pilot01,Dave,pilot01_02_stac_1341324905,1,101,2227,2,5,Request,anyone need wheat?,83,Segment,0,0,pilot01_02_nasher_1374506900541,Continuation
126,Tomm,Other,5,pilot01,Dave,pilot01_02_stac_1341334905,1,102,2252,2,5,Assertion,"I did, yeah",84,Segment,0,0,pilot01_02_asoubeille_1340979466421,Question_answer_pair
127,Dave,Refusal,5,pilot01,Tomm,pilot01_02_stac_1341344905,1,103,2275,2,5,Assertion,no thanks,85,Segment,0,0,pilot01_02_asoubeille_1340979508671,Question_answer_pair
128,rennoc1,Offer,5,pilot01,Dave,pilot01_02_stac_1341354905,1,104,2296,2,5,Request,rennoc?,86,Segment,0,0,pilot01_02_asoubeille_1340979598750,Q_Elab
129,Dave,Refusal,5,pilot01,rennoc1,pilot01_02_stac_1341364905,1,105,2327,2,5,Assertion,i'm ok for now,87,Segment,0,0,pilot01_02_asoubeille_1340979685828,Question_answer_pair
130,All,Other,6,pilot01,Dave,pilot01_02_stac_1341384905,1,107,2344,2,6,Assertion,aww,88,Segment,0,0,0,0
131,Dave,Other,6,pilot01,Tomm,pilot01_02_stac_1341394906,1,108,2379,2,6,Assertion,well that was robbery,89,Segment,0,0,pilot01_02_asoubeille_1340979713187,Comment
132,Tomm,Other,6,pilot01,Dave,pilot01_02_stac_1341404906,1,109,2420,2,6,Question,does the robber do anything,90,Segment,pilot01_02_asoubeille_1350569602703,EDU,0,0
133,Tomm,Other,6,pilot01,Dave,pilot01_02_stac_1341404907,1,109,2439,2,6,Question,after you put him ,90,Segment,pilot01_02_asoubeille_1350569602703,EDU,pilot01_02_asoubeille_1340979805640,Background
134,Tomm,Other,6,pilot01,Dave,pilot01_02_stac_1341404908,1,109,2461,2,6,Question,and before he's moved,90,Segment,pilot01_02_asoubeille_1350569602703,EDU,pilot01_02_asoubeille_1340979784968,Continuation
135,Tomm,Other,6,pilot01,Dave,pilot01_02_stac_1341414906,1,110,2506,2,6,Question,"like, if that resource comes up",91,Segment,pilot01_02_asoubeille_1350569622250,EDU,0,0
136,Tomm,Other,6,pilot01,Dave,pilot01_02_stac_1341414907,1,110,2540,2,6,Question,will you not get it or something?,91,Segment,pilot01_02_asoubeille_1350569622250,EDU,pilot01_02_nasher_1428408695512,Conditional
137,Dave,Other,6,pilot01,Tomm,pilot01_02_stac_1341424906,1,111,2573,2,6,Assertion,When he is in a hex,92,Segment,pilot01_02_asoubeille_1350569693171,EDU,0,0
138,Dave,Other,6,pilot01,Tomm,pilot01_02_stac_1341424907,1,111,2597,2,6,Assertion,you can't get resources,92,Segment,pilot01_02_asoubeille_1350569693171,EDU,pilot01_02_asoubeille_1340980005718,Conditional
